Horizon started successfully.
[2023-01-08 17:50:29][655] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][655] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][672] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][672] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][659] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][631] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][631] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][639] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][639] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][646] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][646] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][649] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][649] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][657] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][657] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][670] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][670] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][671] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][632] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][632] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][634] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][634] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][636] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][636] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][638] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][638] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][640] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][640] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][641] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][641] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][648] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][648] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][650] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][650] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][658] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][658] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][662] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][662] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][664] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][664] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][669] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][669] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][668] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][668] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][674] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][674] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][665] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][667] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][659] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][671] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 18:19:36][675] Processing: Modules\Tasks\Events\TaskCommentAdded
